description,category,amount,merchant,is_synthetic,is_augmented
Contract Work Invoice #7066,freelance,196.28,,True,
$106 Payment for services,entertainment,134.15,Hulu,,True
Food Lion grocery purchase,groceries,47.79,Safeway,,True
Fast food $162,dining,50.02,Taco Bell,,True
$145 Shell ride,transportation,54.55,BP,,True
Dinner at Dunkin' purchase,dining,27.97,Burger King,,True
Dec Direct Deposit Salary,salary,5719.29,,,True
Contract Work Invoice #4599 $145,freelance,303.35,,,True
payment to Subway,dining,25.97,Chick-fil-A,,True
Public transportation via PayPal,transportation,34.21,Lyft,,True
MONTHLY SALARY DEPOSIT,salary,7408.81,,,True
payment for services,healthcare,208.36,Medical Supplies,,True
$183 Contract Work Invoice #8932,freelance,351.89,,,True
Coffee at Wendy's Oct,dining,13.44,Taco Bell,,True
Contract Work Invoice #6963 via Mastercard,freelance,241.86,,,True
Dinner at Wendy's,dining,5.0,Chipotle,True,
Uber Ride,transportation,14.83,Train Ticket,,True
Produce Purchase,groceries,61.88,Aldi,,True
May Purchase,subscriptions,30.48,,,True
Contract Work Invoice #6713,freelance,749.9,,True,
$179 Best Buy order,shopping,15.0,Macy's,,True
gas at bus ticket,transportation,38.63,Shell,,True
dunkin',dining,20.27,Domino's,,True
$145 Parking fee,transportation,31.55,Exxon,,True
Bank Transfer,utilities,30.0,Water Bill,True,
Lowe's order $136,shopping,64.85,Kohl's,,True
publix grocery,groceries,113.23,Publix,,True
Contract Work Invoice #4338,freelance,1727.35,,,True
Restaurant meal via Mastercard,dining,31.69,Panera Bread,,True
Aug Bank Transfer,utilities,210.72,Water Bill,,True
Subscriptions Transaction $32,subscriptions,18.46,,,True
Fast food via Visa,dining,10.64,Starbucks,,True
Oct Public transportation,transportation,48.59,Bus Ticket,,True
Dinner at Wendy's via Mastercard,dining,33.36,Chick-fil-A,,True
lunch at taco bell,dining,52.23,Panera Bread,,True
BANK TRANSFER,subscriptions,24.24,,,True
Online purchase Amazon,shopping,45.86,Walmart,True,
dinner at mcdonald's,dining,21.2,Wendy's,,True
Contract Work Invoice #1516,freelance,4280.11,,True,
Chick-fil-A Dec,dining,20.68,Domino's,,True
paycheck from tech corp,salary,5285.52,,,True
Old Navy shopping $82,shopping,139.05,Nordstrom,,True
Applebees,dining,20.05,Taco Bell,True,
Bank Transfer via Apple Pay,housing,514.45,Home Insurance,,True
Produce purchase $67,groceries,60.21,Target,,True
Feb Bank Transfer,subscriptions,10.07,,,True
payment to Online purchase eBay,shopping,15.0,Macy's,,True
$93 Subscriptions Transaction,subscriptions,22.81,,,True
payment to Lowe's shopping,shopping,15.0,Lowe's,,True
Train Ticket Ride,transportation,33.19,Shell,,True
Gap shopping,shopping,59.32,Lowe's,True,
Online purchase Macy's purchase,shopping,108.05,Home Depot,,True
Walmart grocery,groceries,77.83,Safeway,True,
Lunch at Dunkin',dining,5.0,Wendy's,True,
Fast food,dining,19.95,Chipotle,True,
$79 Walmart grocery,groceries,89.68,Whole Foods,,True
Lunch at Applebees via PayPal,dining,5.0,Subway,,True
Jan Kohl's shopping,shopping,31.34,Target,,True
Clothing purchase $138,shopping,15.0,Macy's,,True
$30 Bank Transfer,utilities,118.48,Cable TV,,True
monthly salary deposit,salary,7408.81,,,True
Contract Work Invoice #5638,freelance,3019.78,,True,
Contract Work Invoice #6696 $8,freelance,100.0,,,True
Target grocery $121,groceries,111.34,Publix,,True
Monthly Salary Deposit via Mastercard,salary,6014.17,,,True
Electronics eBay,shopping,314.0,Kohl's,True,
Bank Transfer Jul,housing,1731.99,Apartment,,True
Macy's order,shopping,76.68,Nordstrom,True,
$8 Contract Work Invoice #6696,freelance,100.0,,,True
Jan Healthcare Transaction,healthcare,176.18,Health Insurance,,True
Groceries at Trader Joe's purchase,groceries,75.29,Walmart,,True
Bus Ticket ride purchase,transportation,39.82,Exxon,,True
Lunch at Chick-fil-A via Mastercard,dining,35.43,Wendy's,,True
at Groceries at Trader Joe's,groceries,182.94,Costco,,True
Dunkin',dining,67.78,Domino's,True,
Bank Transfer $102,housing,514.45,Home Insurance,,True
Groceries At Meijer,groceries,137.65,Publix,,True
APPLEBEES,dining,31.4,Wendy's,,True
Purchase via Apple Pay,utilities,52.98,Sewer Bill,,True
Produce purchase $160,groceries,63.0,Costco,,True
Gas at Gas Station purchase,transportation,11.4,Gas Station,,True
$130 Supermarket purchase,groceries,33.05,Kroger,,True
Lunch At Chipotle,dining,44.29,McDonald's,,True
PAYMENT FOR SERVICES,subscriptions,14.52,,,True
Gas at BP,transportation,10.0,Parking,True,
Gas At Shell,transportation,44.1,Shell,,True
Meijer Grocery,groceries,131.05,Walmart,,True
$55 Weekly groceries,groceries,106.77,Target,,True
Chick-fil-A via PayPal,dining,15.97,Burger King,,True
Contract Work Invoice #6046,freelance,100.0,,True,
payment to Panera Bread,dining,5.0,Dunkin',,True
$15 Chick-fil-A,dining,15.97,Burger King,,True
Bank Transfer $86,entertainment,68.86,Arcade,,True
Dec Groceries at Trader Joe's,groceries,75.29,Walmart,,True
Apr Public transportation,transportation,19.59,Metro Transit,,True
Contract Work Invoice #3625,freelance,1550.6,,True,
Healthcare Transaction Jan,healthcare,176.18,Health Insurance,,True
SAFEWAY GROCERY,groceries,110.09,Food Lion,,True
Coffee at Dunkin',dining,51.43,Domino's,True,
Taco Bell purchase,dining,19.34,Applebees,,True
STARBUCKS,dining,5.0,Starbucks,,True
Parking fee via Google Pay,transportation,19.6,Parking,,True
Apr Electronics Macy's,shopping,296.56,Kohl's,,True
Coffee at Starbucks Feb,dining,11.16,Domino's,,True
Shell ride purchase,transportation,39.76,Shell,,True
Contract Work Invoice #2109,freelance,1960.74,,True,
payment for services,housing,1676.64,Property Tax,,True
paycheck from acme inc,salary,4220.01,,,True
Groceries at Walmart purchase,groceries,79.93,Costco,,True
Jul Payment for services,utilities,78.91,Phone Bill,,True
EBAY ORDER,shopping,200.55,Kohl's,,True
$100 Lunch at Pizza Hut,dining,25.28,Dunkin',,True
$139 Gap order,shopping,15.0,Walmart,,True
ELECTRONICS GAP,shopping,63.84,Home Depot,,True
Contract Work Invoice #3045,freelance,117.74,,True,
at Lunch at Chipotle,dining,44.29,McDonald's,,True
Dinner at Dunkin' $179,dining,27.97,Burger King,,True
Groceries at Safeway $123,groceries,83.56,Publix,,True
DINNER AT MCDONALD'S,dining,21.2,Wendy's,,True
Jan Shell ride,transportation,39.76,Shell,,True
Contract Work Invoice #7781,freelance,100.0,,True,
Jan Supermarket purchase,groceries,42.33,Safeway,,True
Supermarket purchase $184,groceries,119.38,Trader Joe's,,True
Online purchase eBay purchase,shopping,15.0,Macy's,,True
GROCERIES AT TARGET,groceries,43.6,Aldi,,True
Direct Deposit Salary,salary,8146.87,,True,
LYFT RIDE,transportation,19.45,Gas Station,,True
$143 Produce purchase,groceries,20.0,Whole Foods,,True
Lunch at Wendy's purchase,dining,14.78,Subway,,True
Gas at BP purchase,transportation,72.04,Shell,,True
Purchase,housing,1734.45,HOA Fees,True,
Contract Work Invoice #6565,freelance,1855.72,,True,
Train Ticket ride via Mastercard,transportation,33.19,Shell,,True
$44 Electronics Walmart,shopping,481.95,Target,,True
Public transportation,transportation,25.26,Metro Transit,True,
Bank Transfer $114,entertainment,42.09,Netflix,,True
Taxi service $153,transportation,28.8,Train Ticket,,True
$11 Purchase,entertainment,65.37,Disney+,,True
Purchase via Google Pay,entertainment,85.38,Concert,,True
Parking fee via Mastercard,transportation,27.47,Gas Station,,True
Coffee at Chipotle $194,dining,42.03,Wendy's,,True
at Gas at Train Ticket,transportation,56.85,Bus Ticket,,True
Lunch At Starbucks,dining,48.5,Chipotle,,True
$79 Direct Deposit Salary,salary,5537.72,,,True
$157 Freelance Payment,freelance,1841.38,,,True
payment to Groceries at Whole Foods,groceries,102.84,Target,,True
Bank Transfer,entertainment,56.87,YouTube Premium,True,
Contract Work Invoice #1185,freelance,2571.65,,True,
Bank Transfer $55,entertainment,15.83,Concert,,True
Payment For Services,subscriptions,14.52,,,True
Electronics Best Buy,shopping,15.0,Kohl's,True,
Taxi service $56,transportation,70.42,Uber,,True
$118 Produce purchase,groceries,69.44,Whole Foods,,True
Oct Coffee at Wendy's,dining,13.44,Taco Bell,,True
Groceries at Whole Foods purchase,groceries,102.84,Target,,True
walmart order,shopping,145.81,Gap,,True
Fast food $17,dining,15.51,Chipotle,,True
$26 Consulting Services,freelance,508.07,,,True
Lunch at Taco Bell $34,dining,54.1,Panera Bread,,True
Contract Work Invoice #5482,freelance,1493.72,,True,
$143 Coffee at Applebees,dining,56.65,Domino's,,True
payment to Home Depot order,shopping,15.0,Amazon,,True
May Weekly groceries,groceries,112.11,Kroger,,True
FOOD SHOPPING,groceries,153.9,Target,,True
Jul Electronics Amazon,shopping,327.96,Lowe's,,True
Contract Work Invoice #5573,freelance,100.0,,True,
Lunch at Taco Bell purchase,dining,52.23,Panera Bread,,True
Gas At Bp,transportation,72.04,Shell,,True
at Old Navy shopping,shopping,15.0,Nordstrom,,True
Supermarket purchase,groceries,68.12,Publix,True,
at Gas at Mobil,transportation,46.51,BP,,True
RESTAURANT MEAL,dining,5.0,Starbucks,,True
at Lunch at Starbucks,dining,48.5,Chipotle,,True
payment to Electronics Home Depot,shopping,174.94,Lowe's,,True
Gas at Bus Ticket,transportation,30.94,BP,True,
train ticket ride,transportation,33.19,Shell,,True
payment to Coffee at McDonald's,dining,40.42,Applebees,,True
contract work invoice #6963,freelance,241.86,,,True
Macy's order via PayPal,shopping,115.64,Walmart,,True
$137 Housing Transaction,housing,1612.58,Property Tax,,True
Contract Work Invoice #3774,freelance,100.0,,True,
Jan Clothing purchase,shopping,15.0,Lowe's,,True
lunch at burger king,dining,43.08,Wendy's,,True
Kroger grocery,groceries,130.12,Costco,True,
Nov Payment for services,entertainment,17.96,YouTube Premium,,True
$140 Groceries at Kroger,groceries,104.17,Whole Foods,,True
Contract Work Invoice #9472,freelance,100.0,,True,
Supermarket purchase via Google Pay,groceries,78.45,Whole Foods,,True
safeway grocery,groceries,110.09,Food Lion,,True
Housing Transaction,housing,831.48,Rent Payment,True,
chipotle,dining,5.0,Wendy's,,True
$191 Supermarket purchase,groceries,186.51,Target,,True
$184 Parking fee,transportation,10.0,Lyft,,True
Online purchase Kohl's via Mastercard,shopping,29.29,eBay,,True
online purchase home depot,shopping,103.2,Best Buy,,True
Sep Bank Transfer,housing,1506.63,Property Tax,,True
Contract Work Invoice #6963 $146,freelance,241.86,,,True
payment to Uber ride,transportation,14.83,Train Ticket,,True
Taxi service $134,transportation,48.05,Shell,,True
$157 Purchase,utilities,126.52,Cable TV,,True
HOUSING TRANSACTION,housing,1089.63,Property Tax,,True
Dinner at Dunkin',dining,24.78,Starbucks,True,
Jun Supermarket purchase,groceries,198.36,Meijer,,True
Coffee at Dunkin' via Apple Pay,dining,42.6,Pizza Hut,,True
payment to eBay order,shopping,200.55,Kohl's,,True
SUBWAY,dining,25.97,Chick-fil-A,,True
GAS AT METRO TRANSIT,transportation,23.82,BP,,True
payment to Gas Station ride,transportation,20.69,Exxon,,True
Nov Bank Transfer,housing,928.2,Rent Payment,,True
Oct Walmart order,shopping,15.0,Nordstrom,,True
Mobil Ride,transportation,33.38,Mobil,,True
Paycheck from Tech Corp $78,salary,3532.74,,,True
Payment for services Oct,utilities,30.0,Sewer Bill,,True
Public transportation $168,transportation,41.28,Bus Ticket,,True
Jun Public transportation,transportation,54.77,Mobil,,True
Contract Work Invoice #1491 $9,freelance,2660.79,,,True
payment to Coffee at Dunkin',dining,42.6,Pizza Hut,,True
Produce purchase $119,groceries,108.69,Costco,,True
at Aldi grocery,groceries,196.37,Walmart,,True
contract work invoice #9361,freelance,100.0,,,True
Best Buy order,shopping,170.73,eBay,True,
Restaurant meal Sep,dining,28.5,Chick-fil-A,,True
$121 Paycheck from Acme Inc,salary,3391.99,,,True
Payment for services,healthcare,139.67,Dentist,True,
Chick-fil-A $15,dining,15.97,Burger King,,True
groceries at kroger,groceries,105.71,Food Lion,,True
Dunkin' purchase,dining,20.27,Domino's,,True
$61 Monthly Salary Deposit,salary,2085.56,,,True
Mar Payment for services,utilities,196.79,Electric Company,,True
Subscriptions Transaction $165,subscriptions,26.18,,,True
Nordstrom Order,shopping,24.42,Nordstrom,,True
Food shopping via Visa,groceries,91.04,Walmart,,True
Weekly groceries,groceries,87.85,Walmart,True,
Lunch at McDonald's Mar,dining,28.12,Pizza Hut,,True
payment to Gas at Train Ticket,transportation,56.85,Bus Ticket,,True
electronics ebay,shopping,15.0,Macy's,,True
Contract Work Invoice #4991,freelance,1471.78,,True,
$146 Chick-fil-A,dining,20.68,Domino's,,True
Electronics Kohl's,shopping,15.0,Gap,True,
Mar Old Navy shopping,shopping,94.93,Kohl's,,True
electronics old navy,shopping,44.86,Old Navy,,True
payment to Whole Foods grocery,groceries,30.1,Meijer,,True
contract work invoice #2275,freelance,485.24,,,True
$84 Utilities Transaction,utilities,196.15,Water Bill,,True
Payment for services $118,healthcare,277.7,Optometrist,,True
Lunch At Domino'S,dining,17.26,McDonald's,,True
Paycheck from Acme Inc Jun,salary,7094.1,,,True
ONLINE PURCHASE KOHL'S,shopping,29.29,eBay,,True
Jan Payment for services,healthcare,45.3,Prescription,,True
contract work invoice #6696,freelance,100.0,,,True
Purchase via PayPal,healthcare,63.26,Hospital,,True
Taxi service via Mastercard,transportation,10.0,Shell,,True
Groceries at Kroger,groceries,122.62,Meijer,True,
$37 Purchase,subscriptions,8.36,,,True
Contract Work Invoice #6104,freelance,100.0,,True,
$169 Bank Transfer,subscriptions,14.47,,,True
payment to Starbucks,dining,5.0,Starbucks,,True
$106 Bank Transfer,utilities,203.29,Trash Service,,True
Food shopping via Google Pay,groceries,146.21,Aldi,,True
$190 Lunch at Olive Garden,dining,23.67,Domino's,,True
Macy'S Order,shopping,115.64,Walmart,,True
Bank Transfer $22,subscriptions,23.94,,,True
bank transfer,utilities,30.0,Water Bill,,True
ELECTRONICS WALMART,shopping,481.95,Target,,True
Contract Work Invoice #3200,freelance,1665.41,,,True
Sep Purchase,housing,1956.2,Rent Payment,,True
Online purchase Lowe's purchase,shopping,42.87,Amazon,,True
Food shopping $111,groceries,102.93,Target,,True
Purchase via PayPal,utilities,30.0,Electric Company,,True
supermarket purchase,groceries,78.45,Whole Foods,,True
kohl's shopping,shopping,125.5,Walmart,,True
$13 Weekly groceries,groceries,51.23,Giant,,True
Gas At Metro Transit,transportation,23.82,BP,,True
Dinner at Burger King purchase,dining,35.94,Starbucks,,True
subway,dining,25.97,Chick-fil-A,,True
COFFEE AT WENDY'S,dining,35.61,Burger King,,True
Coffee at Wendy's via Google Pay,dining,20.52,Starbucks,,True
at Starbucks,dining,5.0,Starbucks,,True
Home goods Nov,shopping,90.48,Target,,True
ELECTRONICS OLD NAVY,shopping,44.86,Old Navy,,True
Produce purchase via PayPal,groceries,57.85,Target,,True
CAR MAINTENANCE,transportation,73.62,Metro Transit,,True
Bank Transfer via Apple Pay,utilities,96.51,Sewer Bill,,True
Payment For Services,housing,1676.64,Property Tax,,True
$138 Clothing purchase,shopping,15.0,Macy's,,True
Electronics Lowe's purchase,shopping,90.93,Best Buy,,True
Contract Work Invoice #3697,freelance,100.0,,True,
food shopping,groceries,153.9,Target,,True
payment to Gas at Gas Station,transportation,11.4,Gas Station,,True
LUNCH AT TACO BELL,dining,52.23,Panera Bread,,True
Contract Work Invoice #4312,freelance,190.46,,True,
$82 Produce purchase,groceries,20.0,Walmart,,True
Dinner at Pizza Hut,dining,22.53,Wendy's,True,
Payment for services via PayPal,entertainment,53.59,Movie Theater,,True
$79 Purchase,healthcare,60.75,Optometrist,,True
$52 Applebees,dining,17.31,Panera Bread,,True
Lunch At Chick-Fil-A,dining,35.43,Wendy's,,True
Gas at Gas Station $188,transportation,11.4,Gas Station,,True
MEIJER GROCERY,groceries,131.05,Walmart,,True
Contract Work Invoice #7391 Jul,freelance,100.0,,,True
payment to Dinner at Wendy's,dining,33.36,Chick-fil-A,,True
Train Ticket ride Jul,transportation,33.19,Shell,,True
Direct Deposit Salary Nov,salary,6078.32,,,True
Paycheck from Innovation Co May,salary,7883.45,,,True
Entertainment Transaction via PayPal,entertainment,48.24,Disney+,,True
Jan Walmart grocery,groceries,64.05,Food Lion,,True
Gas at Train Ticket purchase,transportation,56.85,Bus Ticket,,True
$190 Restaurant meal,dining,5.0,Burger King,,True
Lunch at Applebees purchase,dining,21.53,Pizza Hut,,True
Lunch at Panera Bread,dining,26.89,Pizza Hut,True,
Payment for services $60,entertainment,30.18,Sports Game,,True
Groceries At Publix,groceries,31.17,Safeway,,True
Target Grocery,groceries,127.59,Target,,True
CONTRACT WORK INVOICE #4338,freelance,1727.35,,,True
Bank Transfer $164,housing,2007.38,Home Insurance,,True
Meijer grocery purchase,groceries,131.05,Walmart,,True
Kroger Grocery,groceries,53.19,Safeway,,True
Dinner at Burger King $177,dining,35.94,Starbucks,,True
Best Buy shopping purchase,shopping,15.0,Lowe's,,True
Publix grocery,groceries,60.87,Kroger,True,
ELECTRONICS BEST BUY,shopping,15.0,Target,,True
Bank Transfer $184,entertainment,38.95,Bowling,,True
Purchase Mar,subscriptions,5.0,,,True
Sep Paycheck from Acme Inc,salary,3143.42,,,True
Clothing purchase via Apple Pay,shopping,15.0,Nordstrom,,True
Lunch at McDonald's via Google Pay,dining,28.12,Pizza Hut,,True
Home goods Feb,shopping,75.92,Target,,True
eBay order,shopping,115.85,Gap,True,
Chipotle,dining,8.56,Domino's,True,
contract work invoice #7391,freelance,100.0,,,True
Contract Work Invoice #2068,freelance,1462.41,,True,
Contract Work Invoice #2408,freelance,1053.94,,True,
Nov Food shopping,groceries,80.73,Safeway,,True
Online purchase Kohl's purchase,shopping,29.29,eBay,,True
Entertainment Transaction $78,entertainment,120.58,HBO Max,,True
Meijer grocery via PayPal,groceries,131.05,Walmart,,True
Contract Work Invoice #3042,freelance,135.59,,True,
$90 Clothing purchase,shopping,104.08,Amazon,,True
Taxi service $175,transportation,19.4,Train Ticket,,True
Gas Station ride,transportation,33.78,BP,True,
Groceries at Safeway,groceries,116.57,Safeway,True,
Restaurant meal via PayPal,dining,67.93,Burger King,,True
Bank Transfer $134,utilities,174.72,Electric Company,,True
PAYCHECK FROM ACME INC,salary,4220.01,,,True
$168 Purchase,housing,2596.12,Property Tax,,True
Best Buy shopping $179,shopping,15.0,Lowe's,,True
MACY'S ORDER,shopping,115.64,Walmart,,True
$111 Food shopping,groceries,102.93,Target,,True
payment to Coffee at Pizza Hut,dining,34.43,Dunkin',,True
at Groceries at Target,groceries,43.6,Aldi,,True
at BP ride,transportation,20.59,Uber,,True
groceries at food lion,groceries,78.13,Walmart,,True
Aug Monthly Salary Deposit,salary,2000.0,,,True
Feb Coffee at Starbucks,dining,11.16,Domino's,,True
HOME DEPOT SHOPPING,shopping,190.35,Old Navy,,True
Contract Work Invoice #9039,freelance,1636.86,,True,
Utilities Transaction via Google Pay,utilities,111.1,Gas Company,,True
Home goods,shopping,108.64,Home Depot,True,
$145 Contract Work Invoice #4599,freelance,303.35,,,True
Contract Work Invoice #4987,freelance,759.35,,True,
OLD NAVY ORDER,shopping,15.0,Kohl's,,True
$185 Utilities Transaction,utilities,144.35,Phone Bill,,True
Purchase via Visa,subscriptions,19.05,,,True
Payment for services $146,healthcare,208.36,Medical Supplies,,True
Clothing purchase Jan,shopping,15.0,Lowe's,,True
LUNCH AT CHIPOTLE,dining,44.29,McDonald's,,True
Groceries at Whole Foods,groceries,51.33,Meijer,True,
Gas At Train Ticket,transportation,56.85,Bus Ticket,,True
Old Navy order,shopping,15.0,eBay,True,
$173 Car maintenance,transportation,50.53,Train Ticket,,True
payment to Online purchase Macy's,shopping,108.05,Home Depot,,True
$176 Monthly Salary Deposit,salary,2000.0,,,True
Online purchase Home Depot purchase,shopping,103.2,Best Buy,,True
at Gas at Gas Station,transportation,11.4,Gas Station,,True
Jan Lunch at Domino's,dining,17.26,McDonald's,,True
at Exxon ride,transportation,15.39,Gas Station,,True
$32 Lyft ride,transportation,43.33,Lyft,,True
at Dinner at Starbucks,dining,5.0,Dunkin',,True
WALMART SHOPPING,shopping,271.46,Old Navy,,True
Coffee at Panera Bread,dining,20.08,Panera Bread,True,
Best Buy Order,shopping,15.0,Macy's,,True
payment to Lunch at Starbucks,dining,48.5,Chipotle,,True
Contract Work Invoice #6548,freelance,188.05,,True,
Paycheck from Global Solutions Nov,salary,6752.29,,,True
Jul Purchase,subscriptions,28.92,,,True
$47 Utilities Transaction,utilities,30.0,Electric Company,,True
Feb Home goods,shopping,75.92,Target,,True
Bank Transfer via Visa,utilities,121.6,Internet Service,,True
Coffee At Burger King,dining,24.3,Subway,,True
$10 Bank Transfer,healthcare,213.68,Health Insurance,,True
Contract Work Invoice #7801,freelance,100.0,,True,
Groceries at Publix purchase,groceries,31.17,Safeway,,True
Taxi service Nov,transportation,28.8,Train Ticket,,True
Home Depot Order,shopping,15.0,Amazon,,True
at Online purchase eBay,shopping,15.0,Macy's,,True
Consulting Services $133,freelance,449.64,,,True
Fast food $132,dining,30.69,McDonald's,,True
Sep Lunch at Starbucks,dining,45.97,Dunkin',,True
Freelance Payment $80,freelance,100.0,,,True
contract work invoice #5373,freelance,938.6,,,True
Coffee at Wendy's via Visa,dining,25.37,Subway,,True
GROCERIES AT WHOLE FOODS,groceries,102.84,Target,,True
$83 Subscriptions Transaction,subscriptions,30.98,,,True
at Lunch at Applebees,dining,21.53,Pizza Hut,,True
GROCERIES AT COSTCO,groceries,53.38,Trader Joe's,,True
WENDY'S,dining,21.26,Pizza Hut,,True
Mobil ride,transportation,49.31,Uber,True,
at Online purchase Home Depot,shopping,103.2,Best Buy,,True
Car maintenance via Visa,transportation,16.61,Gas Station,,True
GAS AT SHELL,transportation,44.1,Shell,,True
payment to Dinner at Chick-fil-A,dining,16.14,Dunkin',,True
Car maintenance $146,transportation,61.48,Metro Transit,,True
$28 Bank Transfer,healthcare,70.37,Medical Supplies,,True
coffee at panera bread,dining,32.48,Taco Bell,,True
Contract Work Invoice #5184,freelance,100.0,,True,
Gas at Gas Station via PayPal,transportation,79.8,Gas Station,,True
$146 Starbucks,dining,10.91,Chick-fil-A,,True
$47 Public transportation,transportation,19.59,Metro Transit,,True
Jan Bank Transfer,healthcare,213.68,Health Insurance,,True
BP ride purchase,transportation,20.59,Uber,,True
payment to Lunch at Chick-fil-A,dining,35.43,Wendy's,,True
kroger grocery,groceries,53.19,Safeway,,True
at Best Buy shopping,shopping,15.0,Lowe's,,True
$146 Payment for services,healthcare,208.36,Medical Supplies,,True
$102 Consulting Services,freelance,766.05,,,True
LUNCH AT CHICK-FIL-A,dining,35.43,Wendy's,,True
$40 Freelance Payment,freelance,2893.19,,,True
payment to Target grocery,groceries,127.59,Target,,True
PUBLIC TRANSPORTATION,transportation,54.77,Mobil,,True
Bank Transfer $91,housing,2312.76,Home Insurance,,True
MOBIL RIDE,transportation,33.38,Mobil,,True
$151 Supermarket purchase,groceries,66.27,Walmart,,True
$89 Paycheck from Tech Corp,salary,2669.24,,,True
applebees,dining,31.4,Wendy's,,True
at Food Lion grocery,groceries,47.79,Safeway,,True
Restaurant meal $96,dining,16.56,Starbucks,,True
Lunch at Starbucks via Apple Pay,dining,16.93,Wendy's,,True
Payment for services via Google Pay,entertainment,10.0,Bowling,,True
Consulting Services $30,freelance,100.0,,,True
Online purchase Best Buy purchase,shopping,37.09,Kohl's,,True
Purchase via Visa,housing,1549.27,Property Tax,,True
Electronics Lowe's,shopping,196.79,Walmart,True,
$24 Weekly groceries,groceries,134.23,Trader Joe's,,True
$158 Contract Work Invoice #5353,freelance,168.35,,,True
$137 Contract Work Invoice #2121,freelance,701.97,,,True
Produce purchase Oct,groceries,122.24,Kroger,,True
at Nordstrom shopping,shopping,196.13,Best Buy,,True
Direct Deposit Salary via Apple Pay,salary,2000.0,,,True
at Coffee at Wendy's,dining,35.61,Burger King,,True
Monthly Salary Deposit May,salary,4905.03,,,True
Paycheck from Innovation Co,salary,5150.05,,True,
Jan Produce purchase,groceries,35.6,Meijer,,True
Contract Work Invoice #4599 via Visa,freelance,303.35,,,True
Dinner At Applebees,dining,18.99,Subway,,True
Lunch at Wendy's,dining,16.4,Wendy's,True,
CONTRACT WORK INVOICE #6595,freelance,223.59,,,True
Paycheck from Acme Inc via PayPal,salary,3143.42,,,True
$133 Consulting Services,freelance,449.64,,,True
payment to Dinner at Pizza Hut,dining,37.6,Panera Bread,,True
Dinner at Pizza Hut via Google Pay,dining,6.96,Domino's,,True
Subscriptions Transaction Mar,subscriptions,5.0,,,True
Purchase via Google Pay,subscriptions,21.48,,,True
at Groceries at Kroger,groceries,105.71,Food Lion,,True
eBay order via Apple Pay,shopping,200.55,Kohl's,,True
Contract Work Invoice #5896,freelance,1011.56,,True,
$80 Freelance Payment,freelance,100.0,,,True
LUNCH AT BURGER KING,dining,43.08,Wendy's,,True
purchase,utilities,93.96,Cable TV,,True
eBay shopping purchase,shopping,15.0,Walmart,,True
PURCHASE,subscriptions,21.48,,,True
Best Buy order $179,shopping,15.0,Macy's,,True
at Mobil ride,transportation,33.38,Mobil,,True
payment to Electronics Lowe's,shopping,90.93,Best Buy,,True
Jun Purchase,housing,1589.27,Rent Payment,,True
at Groceries at Giant,groceries,107.66,Publix,,True
Walmart grocery via Google Pay,groceries,89.68,Whole Foods,,True
Bank Transfer Sep,subscriptions,14.47,,,True
